"","Name","Pos","Team","GamesPlayed","Goals","Assists","Points","SCH","GoalsPerSCH","AssistsPerSCH","PointsPerSCH","SkillRank","Season"
"1","Alex Ovechkin","LW","Washington Capitals",78,51,28,79,9538460,5.35,2.94,8.28,"A","2013/2014"
"2","Sidney Crosby","C","Pittsburgh Penguins",80,36,68,104,8700000,4.14,7.82,11.95,"A","2013/2014"
"3","Evgeni Malkin","C","Pittsburgh Penguins",60,23,49,72,8700000,2.64,5.63,8.28,"A","2013/2014"
"4","Corey Perry","RW","Anaheim Ducks",81,43,39,82,8625000,4.99,4.52,9.51,"A","2013/2014"
"5","Ryan Getzlaf","C","Anaheim Ducks",77,31,56,87,8250000,3.76,6.79,10.55,"A","2013/2014"
"6","Eric Staal","C","Minnesota Wild",79,21,40,61,8250000,2.55,4.85,7.39,"A","2013/2014"
"7","Rick Nash","LW","Boston Bruins",65,26,13,39,7800000,3.33,1.67,5,"A","2013/2014"
"8","Zach Parise","LW","Minnesota Wild",67,29,27,56,7538460,3.85,3.58,7.43,"A","2013/2014"
"9","Steven Stamkos","C","Tampa Bay Lightning",37,25,15,40,7500000,3.33,2,5.33,"A","2013/2014"
"10","Dany Heatley","LW","Florida Panthers",76,12,16,28,7500000,1.6,2.13,3.73,"A","2013/2014"
"11","Joe Thornton","C","San Jose Sharks",82,11,65,76,7e+06,1.57,9.29,10.86,"A","2013/2014"
"12","Jason Spezza","C","Dallas Stars",75,23,43,66,7e+06,3.29,6.14,9.43,"A","2013/2014"
"13","Alexander Semin","RW","Montreal Canadiens",65,22,20,42,7e+06,3.14,2.86,6,"A","2013/2014"
"14","Patrick Marleau","LW","Toronto Maple Leafs",82,33,37,70,6900000,4.78,5.36,10.14,"A","2013/2014"
"15","Anze Kopitar","C","Los Angeles Kings",82,29,41,70,6800000,4.26,6.03,10.29,"A","2013/2014"
"16","Mikko Koivu","C","Minnesota Wild",65,11,43,54,6750000,1.63,6.37,8,"A","2013/2014"
"17","Nicklas Backstrom","C","Washington Capitals",82,18,61,79,6700000,2.69,9.1,11.79,"A","2013/2014"
"18","Pavel Datsyuk","C","Arizona Coyotes",45,17,20,37,6700000,2.54,2.99,5.52,"A","2013/2014"
"19","Brad Richards","C","Free Agent",82,20,31,51,6666670,3,4.65,7.65,"A","2013/2014"
"20","Paul Stastny","C","Winnipeg Jets",71,25,35,60,6600000,3.79,5.3,9.09,"A","2013/2014"
"21","Patrick Kane","RW","Chicago Blackhawks",69,29,40,69,6300000,4.6,6.35,10.95,"A","2013/2014"
"22","Jonathan Toews","C","Chicago Blackhawks",76,28,40,68,6300000,4.44,6.35,10.79,"A","2013/2014"
"23","Henrik Sedin","C","Vancouver Canucks",70,11,39,50,6100000,1.8,6.39,8.2,"A","2013/2014"
"24","Daniel Sedin","LW","Vancouver Canucks",73,16,31,47,6100000,2.62,5.08,7.7,"A","2013/2014"
"25","Henrik Zetterberg","C","Detroit Red Wings",45,16,32,48,6083330,2.63,5.26,7.89,"A","2013/2014"
"26","Taylor Hall","LW","New Jersey Devils",75,27,53,80,6e+06,4.5,8.83,13.33,"A","2013/2014"
"27","Jordan Eberle","RW","New York Islanders",80,28,37,65,6e+06,4.67,6.17,10.83,"A","2013/2014"
"28","Jarome Iginla","RW","Free Agent",78,30,31,61,6e+06,5,5.17,10.17,"A","2013/2014"
"29","Milan Lucic","LW","Edmonton Oilers",80,24,35,59,6e+06,4,5.83,9.83,"A","2013/2014"
"30","Michael Cammalleri","C","Edmonton Oilers",63,26,19,45,6e+06,4.33,3.17,7.5,"A","2013/2014"
