"","pos","last","first","numfirstlast","firstlast","index","player.id","pC","pL","pR","pD","pG","Player Rank 1314","Player Rank 1415"
"1","","","","","",1,1,0,0,0,0,0,NA,NA
"2","D","BARTKOWSKI","MATT","43 MATT BARTKOWSKI","MATT BARTKOWSKI",2,2,0,0,0,143,0,"C","D"
"3","C","BERGERON","PATRICE","37 PATRICE BERGERON","PATRICE BERGERON",3,3,413,0,0,0,0,"A","A"
"4","G","BOBROVSKY","SERGEI","35 SERGEI BOBROVSKY","SERGEI BOBROVSKY",4,4,0,0,0,0,186,NA,NA
"5","D","BOYCHUK","JOHNNY","55 JOHNNY BOYCHUK","JOHNNY BOYCHUK",5,5,0,0,0,393,0,"B","C"
"6","C","BRIERE","DANIEL","48 DANNY BRIERE","DANIEL BRIERE",6,6,196,0,0,0,0,NA,NA
"7","G","BRYZGALOV","ILYA","30 ILYA BRYZGALOV","ILYA BRYZGALOV",7,7,0,0,0,0,257,NA,NA
"8","C","CAMPBELL","GREGORY","11 GREGORY CAMPBELL","GREGORY CAMPBELL",8,8,397,0,0,0,0,"C","D"
"9","D","CARLE","MATT","25 MATT CARLE","MATT CARLE",9,9,0,0,0,186,0,"A","B"
"10","R","CARON","JORDAN","38 JORDAN CARON","JORDAN CARON",10,10,0,0,170,0,0,"D","D"
"11","D","CHARA","ZDENO","33 ZDENO CHARA","ZDENO CHARA",11,11,0,0,0,394,0,"A","B"
"12","D","COBURN","BRAYDON","5 BRAYDON COBURN","BRAYDON COBURN",12,12,0,0,0,345,0,"B","B"
"13","D","CORVO","JOE","14 JOE CORVO","JOE CORVO",13,13,0,0,0,160,0,"D",NA
"14","C","COUTURIER","SEAN","14 SEAN COUTURIER","SEAN COUTURIER",14,14,393,0,0,0,0,"C","C"
"15","D","FERENCE","ANDREW","21 ANDREW FERENCE","ANDREW FERENCE",15,15,0,0,0,361,0,"B","B"
"16","R","GIROUX","CLAUDE","28 CLAUDE GIROUX","CLAUDE GIROUX",16,16,0,0,392,0,0,"A","A"
"17","L","HARTNELL","SCOTT","19 SCOTT HARTNELL","SCOTT HARTNELL",17,17,0,303,0,0,0,"A","A"
"18","R","HORTON","NATHAN","18 NATHAN HORTON","NATHAN HORTON",18,18,0,0,157,0,0,"B",NA
"19","R","JAGR","JAROMIR","68 JAROMIR JAGR","JAROMIR JAGR",19,19,0,0,394,0,0,"A","A"
"20","C","KELLY","CHRIS","23 CHRIS KELLY","CHRIS KELLY",20,20,371,0,0,0,0,"B","B"
"21","C","KREJCI","DAVID","46 DAVID KREJCI","DAVID KREJCI",21,21,380,0,0,0,0,"A","B"
"22","D","LILJA","ANDREAS","6 ANDREAS LILJA","ANDREAS LILJA",22,22,0,0,0,116,0,NA,NA
"23","L","LUCIC","MILAN","17 MILAN LUCIC","MILAN LUCIC",23,23,0,417,0,0,0,"A","A"
"24","C","MARCHAND","BRAD","63 BRAD MARCHAND","BRAD MARCHAND",24,24,404,0,0,0,0,"A","B"
"25","D","MESZAROS","ANDREJ","41 ANDREJ MESZAROS","ANDREJ MESZAROS",25,25,0,0,0,253,0,"C","B"
"26","R","NODL","ANDREAS","15 ANDREAS NODL","ANDREAS NODL",26,26,0,0,24,0,0,NA,NA
"27","L","PAILLE","DANIEL","20 DANIEL PAILLE","DANIEL PAILLE",27,27,0,370,0,0,0,"D","D"
"28","C","PEVERLEY","RICH","49 RICH PEVERLEY","RICH PEVERLEY",28,28,196,0,0,0,0,"B",NA
